Total Venta,Fecha de Emisión (Unix Timestamp),Empresa
11763,2020-09-17 16:45:10,20
8000,2020-09-21 16:45:44,20
761,2020-10-07 14:05:10,20
761,2020-10-09 19:02:54,20
1522,2020-10-09 20:07:08,20
4666,2020-10-13 02:09:14,20
3809,2020-10-13 15:52:41,10
1522,2020-10-15 12:39:12,20
2283,2020-10-15 12:54:19,20
6140,2020-10-15 13:14:25,20
52819,2020-10-19 23:43:14,20
20959,2020-10-22 14:03:04,10
762,2020-10-22 15:29:55,20
79500,2020-10-22 15:44:44,32
2963,2020-10-27 17:59:28,20
990,2020-10-28 14:16:44,20
47700,2020-10-28 15:16:38,32
3990,2020-10-28 18:40:39,20
6656,2020-10-29 17:41:06,20
20561,2020-11-09 12:13:46,10
120,2020-11-12 07:04:21,7
161230,2020-11-16 17:56:29,20
1600,2020-11-17 01:50:49,7
13682,2020-11-23 19:41:58,20
2700,2020-11-24 06:46:05,7
17900,2020-11-25 01:09:18,32
29888,2020-11-30 14:09:50,32
39800,2020-11-30 17:06:18,32
44220,2020-11-30 20:06:05,32
18900,2020-12-01 14:31:55,32
33888,2020-12-02 13:35:31,32
17009,2020-12-02 17:09:03,30
8980,2020-12-03 13:52:43,34
6580,2020-12-03 14:08:42,34
6280,2020-12-03 14:17:59,34
20819,2020-12-03 02:58:45,30
4040,2020-12-06 14:21:01,34
2880,2020-12-06 19:02:53,34
800,2020-12-07 19:04:34,20
21000,2020-12-08 23:11:59,30
38960,2020-12-09 01:59:28,30
4999,2020-12-09 04:18:46,30
13000,2020-12-09 05:28:54,30
3740,2020-12-09 19:18:15,34
41000,2020-12-09 07:15:55,30
53037,2020-12-10 18:26:21,20
1600,2020-12-10 08:50:59,7
3740,2020-12-11 13:10:29,34
24080,2020-12-11 03:31:10,30
12580,2020-12-12 03:10:13,34
20150,2020-12-12 05:02:06,30
145050,2020-12-12 17:36:39,34
23880,2020-12-14 21:34:27,34
46080,2020-12-15 00:00:11,30
20581,2020-12-15 13:05:07,10
21970,2020-12-15 15:33:30,34
102510,2020-12-16 14:13:51,34
21264,2020-12-17 03:54:56,34
